ds,y
12/20/2017,216709.78
12/21/2017,199722.6
12/27/2017,167300
12/28/2017,91582.8
12/29/2017,41986.92
1/4/2018,27887.94
1/5/2018,200035.07
1/12/2018,94039.11
1/22/2018,153911.55
1/23/2018,84799.73
1/24/2018,105314.42
1/29/2018,205979.43
1/30/2018,121648.75
1/31/2018,108133.69
2/1/2018,269392.71
2/6/2018,300455.11
2/7/2018,122257.66
2/8/2018,207901.26
2/9/2018,298851.52
2/15/2018,372357.92
2/16/2018,259531.36
2/23/2018,230415.91
2/26/2018,386432.38
3/5/2018,280427.83
3/6/2018,191353.66
3/12/2018,389786.46
3/13/2018,148365.49
3/14/2018,191599.84
3/15/2018,142221.22
3/20/2018,102934.17
3/21/2018,22274.01
3/22/2018,400935.01
3/23/2018,318973.26
3/29/2018,42433.49
4/6/2018,218750.44
4/9/2018,274128.47
4/16/2018,265453.92
4/17/2018,298843.16
4/23/2018,255636.13
4/24/2018,198026.21
4/25/2018,220354.45
4/26/2018,311006.03
5/1/2018,199966.1
5/2/2018,176608.48
5/3/2018,266244.09
5/4/2018,226131.26
5/9/2018,293702.78
5/10/2018,241207.98
5/11/2018,212342.2
5/18/2018,150666.31
5/21/2018,254054.42
5/29/2018,399741.88
6/4/2018,272452.45
6/5/2018,103583.4
6/6/2018,248506.12
6/7/2018,103569.24
6/12/2018,227888.88
6/13/2018,152198.04
6/14/2018,403936.91
6/15/2018,152379.2
6/20/2018,136740.9
6/21/2018,562365.35
6/22/2018,237063.85
6/28/2018,19564.32
6/29/2018,330564.45
7/2/2018,417941.51
7/9/2018,357375.76
7/10/2018,134190.78
7/16/2018,233485.25
7/17/2018,94735.74
7/18/2018,204789.32
7/24/2018,82577.87
7/25/2018,438235.01
7/26/2018,107499.7
7/27/2018,282959.37
8/1/2018,288911.74
8/2/2018,65527.6
8/3/2018,372848.22
8/9/2018,324449.2
8/10/2018,223901.83
8/20/2018,273172.19
8/21/2018,180800.61
8/27/2018,219858.92
8/28/2018,317697.94
8/29/2018,388443.21
9/4/2018,444026.94
9/5/2018,129856.65
9/6/2018,290925.02
9/12/2018,305716.76
9/13/2018,138904.01
9/14/2018,233521.97
9/20/2018,257081.83
9/21/2018,253050.93
9/28/2018,87448.34
10/1/2018,267500.04
10/2/2018,188919.49
10/8/2018,223617.1
10/9/2018,94421.96
10/10/2018,199842.42
10/15/2018,269948.41
10/16/2018,91526.02
10/17/2018,109299.29
10/18/2018,14634
10/23/2018,104948.33
10/24/2018,132499.92
10/25/2018,383223.11
10/26/2018,96358.04
11/1/2018,201364.87
11/2/2018,231964.33
11/9/2018,129492.98
11/12/2018,332842.51
11/19/2018,569674
11/20/2018,102551.26
11/21/2018,114653.07
11/26/2018,397404.1
11/27/2018,50422.43
11/28/2018,128242.42
11/29/2018,170662.7
12/4/2018,62464.23
12/5/2018,416782.31
12/6/2018,229080.03
12/7/2018,124203.18
12/13/2018,230954.86
12/14/2018,117344.99
12/21/2018,166248.53
12/31/2018,123459.74
1/7/2019,292307.56
1/8/2019,131306.7
1/9/2019,199321.79
1/10/2019,257416.35
1/15/2019,48588.48
1/16/2019,188641.15
1/17/2019,266472.77
1/18/2019,95824.92
1/23/2019,302643.52
1/24/2019,195878.84
1/25/2019,184883.35
2/1/2019,194167.46
2/4/2019,320092.41
2/11/2019,280099.6
2/12/2019,95684.1
2/19/2019,465192.65
2/20/2019,158767.53
2/21/2019,202406.53
2/26/2019,483864.99
2/27/2019,251643.94
2/28/2019,239513.5
3/1/2019,178241.77
3/6/2019,434964.66
3/7/2019,218617.9
3/8/2019,187630.72
3/14/2019,256862.85
3/15/2019,97706.4
3/18/2019,188750.68
3/25/2019,340971.74
3/26/2019,282585.71
4/1/2019,420337
4/2/2019,83264.45
4/3/2019,65638.56
4/9/2019,216760.2
4/10/2019,304284.69
4/11/2019,293836.41
4/12/2019,372946.88
4/17/2019,414824.86
4/18/2019,327354.08
4/25/2019,305568.62
4/26/2019,136542.74
5/6/2019,401111.53
5/7/2019,101632.68
2/28/2018,117494.93
3/1/2018,261895.9
3/2/2018,76440.15
3/8/2018,378211.6
3/9/2018,154707.24
3/16/2018,119547.9
3/19/2018,349223.32
3/26/2018,518471.33
3/27/2018,239483.86
3/28/2018,164436.27
4/2/2018,526666.13
4/3/2018,139628.49
4/4/2018,128502.23
4/5/2018,255757.92
4/10/2018,151821.25
4/11/2018,147329.7
4/12/2018,40958.99
4/13/2018,514190.97
4/18/2018,201295.67
4/19/2018,386893.38
4/20/2018,175901.41
4/27/2018,128211.73
4/30/2018,371280.11
5/7/2018,415684.36
5/8/2018,343951.8
5/14/2018,355741.09
5/15/2018,136548.16
5/16/2018,61000.12
5/17/2018,464292.49
5/22/2018,225027.26
5/23/2018,281006.33
